,id,created_at,tweets,retweet_count,favorite_count,followers_count
0,1234469452495904768,2020-03-02 13:23:47,@harryhalpin @EthCC_ @nikitab Did I ever make any claims about layer 0 anonymity? I feel like it's pretty obvious m… https://t.co/CQoqfAYB2j,0,8,891277
1,1234228745889669120,2020-03-01 21:27:18,RT @will_harborne: This weekend developers at @ETHLondonUK are getting the first taste of @deversifi's upgraded API powered by @StarkWareLt…,23,0,891277
2,1234215414004998144,2020-03-01 20:34:19,@lex_node @TimBeiko @OhGodAGirl @Consensys @ethereumJoseph @fubuloubu @nicksdjohnson @VladZamfir @iamDCinvestor… https://t.co/wL0Hd31Ode,3,22,891277
3,1234212578219311104,2020-03-01 20:23:03,@lex_node @TimBeiko @OhGodAGirl @Consensys @ethereumJoseph @fubuloubu @nicksdjohnson @VladZamfir @iamDCinvestor… https://t.co/0RDY04Dm7Z,1,7,891277
4,1234041768393527300,2020-03-01 09:04:19,@Sebowski @nicksdjohnson I don't think that was the intent. More that decentralization is great because Nick couldn… https://t.co/tsMxeiPPwW,2,43,891277
5,1233866540715532289,2020-02-29 21:28:02,@ArthurB @ESYudkowsky You'd also need a social explanation for why none of the people who receive gifts from the fa… https://t.co/ogzSm5QhKQ,0,15,891277
6,1233806805660250114,2020-02-29 17:30:40,"@BenDMahala eg. many voting schemes succumb to Duverger's Law https://t.co/gUwRahcqnH , but at least Duverger's law… https://t.co/LqmfsV45a1",0,2,891277
7,1233806608888713217,2020-02-29 17:29:53,@BenDMahala Some mechanisms have these dynamics more than others; fork futures are unfortunately definitely on the high side.,0,1,891277
8,1233804737314775041,2020-02-29 17:22:27,"@lex_node @BenDMahala @angela_walch I don't expect fork futures markets to be a good idea. In general, they're a mu… https://t.co/FFmcOghF6W",2,7,891277
9,1233803030140772358,2020-02-29 17:15:39,"@lex_node @angela_walch @nethermindeth I know my personal opinion is not socially scalable, but at least to me it s… https://t.co/NiwMx5kwp1",1,8,891277
10,1233802999195193347,2020-02-29 17:15:32,@lex_node @angela_walch I think @nethermindeth forging ahead with beam sync is a good real-life example of genuine… https://t.co/2Hmybg8Y4e,2,12,891277
11,1233791505443295237,2020-02-29 16:29:52,"@Sam_Gyamfi10 @angela_walch Yes, cryptocurrency and FOSS are both (i) more libertarian than average and (ii) more d… https://t.co/LLC3x4JyMW",1,9,891277
12,1233790444494036992,2020-02-29 16:25:39,@bullofbtc @angela_walch Oh the BTC community is definitely on average more capitalist than the ETH community.,0,3,891277
13,1233790007212724224,2020-02-29 16:23:55,"@angela_walch Quite a few socialists in blockchain land and vice versa, but it does feel like *on average* there's… https://t.co/74S87layvL",0,9,891277
14,1233789453283536896,2020-02-29 16:21:43,@angela_walch In my experience cryptocurrency/blockchain communities tend to be more capitalist than non-coin/chain FOSS communities.,7,57,891277
15,1233788372348436481,2020-02-29 16:17:25,@lex_node @angela_walch Some would even argue that with a certain client this has already happened...,2,16,891277
16,1233788324348932104,2020-02-29 16:17:13,@lex_node @angela_walch This is actually one reason why the multi-client approach is there. It creates an instituti… https://t.co/1bgvDxbzY4,2,26,891277
17,1233787806478143488,2020-02-29 16:15:10,@lex_node @angela_walch &gt; the predominant factor in whether ProgPoW is adopted is simply whether the Geth team rele… https://t.co/UmFBJ1tYdK,2,10,891277
18,1233691979902402562,2020-02-29 09:54:23,"@lex_node @angela_walch &gt; So now devs are essentially in complete control

Do you think the recent progpow situatio… https://t.co/O2N0l8VQfS",2,20,891277
19,1233673193103200257,2020-02-29 08:39:44,@WayneVaughan @angela_walch @Consensys Yes on both counts.,0,1,891277
20,1233673087662641152,2020-02-29 08:39:19,@BitcoinErrorLog @angela_walch The ability to reliably win physical conflicts that last more than a short duration… https://t.co/9BIKMxBrsI,0,2,891277
21,1233537500259418113,2020-02-28 23:40:32,@zndtoshi @angela_walch Bitcoin is a public good. Bitcoin cash is a public good. BSV is a public bad.,0,19,891277
22,1233537007630143489,2020-02-28 23:38:35,"@WayneVaughan @angela_walch @Consensys Eg. here's an example of the mindset I am arguing against.

https://t.co/lO2OeW95Gc",0,4,891277
23,1233536578431131649,2020-02-28 23:36:52,"@WayneVaughan @angela_walch @Consensys I didn't even advocate for that. There's a bit of conflation between ""public… https://t.co/7SPNq6n52Q",0,4,891277
24,1233535788610203648,2020-02-28 23:33:44,@pierre_rochard @JasonCoombsCEO @angela_walch The world where things like that happen somewhat more often would be a better one!,0,9,891277
25,1233535612914892805,2020-02-28 23:33:02,"@angela_walch I prefer the more honest, mildly Zamfirian strategy: openly admit that publicness is a legitimate and… https://t.co/V4PHBu872n",5,28,891277
26,1233534713786175491,2020-02-28 23:29:28,"@angela_walch I love the denials of any validity to the notion of publicness in the responses to this.

Ironically… https://t.co/slzaYxH4b3",8,44,891277
27,1233408470075965441,2020-02-28 15:07:49,@JonahSPRKL I think using block.timestamp is reasonable!,1,12,891277
28,1233388796701532161,2020-02-28 13:49:39,RT @ElectricCoinCo: 1/3: ZIP 1014 is final. It establishes a #Zcash development fund to be spread across multiple teams and establishes a g…,25,0,891277
29,1233388328575283202,2020-02-28 13:47:47,"@angela_walch Seems a reasonable description to me!

(And many of those apply to ethereum too)",1,14,891277
30,1233336089923944448,2020-02-28 10:20:12,".@tylercowen on grants vs prizes and the growth of ""implicit prizes"": https://t.co/pAnuYMtSJJ

It's worth noting th… https://t.co/mAnw1QyryF",26,118,891277
31,1233326577284415489,2020-02-28 09:42:24,@__bitdog__ @Timccopeland @RokoMijicUK It was a concrete prediction of (i) higher variance and (ii) negative skewness.,0,6,891277
32,1233313053657182208,2020-02-28 08:48:40,@RokoMijicUK I checked the crypto charts a few days ago and it felt like the rally was due for a continuation and i… https://t.co/5RVpMLMkbC,8,49,891277
33,1233070862443610112,2020-02-27 16:46:17,"RT @loopringorg: We couldn't wait until March. Loopring Exchange is live 😁

zkRollup DEXes on Ethereum are here today.

https://t.co/1Hs5ZM…",113,0,891277
34,1233042113144770560,2020-02-27 14:52:03,@mattysino Someone else made it (though I am responsible for a few of the things it links to). I think I just accid… https://t.co/PIxFel3glB,2,34,891277
35,1232887772685295617,2020-02-27 04:38:45,@pierre_rochard Nah that stuff is part of the 95%,2,49,891277
36,1232883830366695424,2020-02-27 04:23:05,@MarsT18318663 @DaddyCool1991 Malheureusement je n'ai pas ètudié ces mots à l'école... 😥,2,6,891277
37,1232879623832104960,2020-02-27 04:06:22,RT @hudsonjameson: This amazing project is super under the radar and has major implications for the future of voting using Ethereum. https:…,18,0,891277
38,1232876392842350592,2020-02-27 03:53:32,"@DaddyCool1991 Is the S word even a swear when used in compounds with ""bull-"" or ""-coin""? I honestly don't know...",1,17,891277
39,1232870908282331138,2020-02-27 03:31:44,Also this gleeful watching of every disaster as a potential source of moon continues to be just creepy...,51,682,891277
40,1232870793534562304,2020-02-27 03:31:17,"Your daily reminder that 95%+ of articles of the form ""event X will make crypto go (up | down)"" are post-hoc ration… https://t.co/fwsCq3XfWa",511,2566,891277
41,1232834500649840641,2020-02-27 01:07:04,@Samuel_DavidA @ATabarrok @iamharaldur What place outside USA and similar countries *has* high diversity then? Sing… https://t.co/Tp40TZG8ff,0,9,891277
42,1232824977188999169,2020-02-27 00:29:13,"@ATabarrok @iamharaldur Singapore?

Less known as a tech hub specifically, though there is still plenty of that.",2,30,891277
43,1232764256711393280,2020-02-26 20:27:57,@FlaneurDuMonde @ATabarrok Long-term changes in social norms should not hinge on the details of a single epidemic i… https://t.co/FtQqeB5zrA,0,4,891277
44,1232761569676627968,2020-02-26 20:17:16,"@oliverbeige I'll make sure to learn more about it than ""some guy named Achilles got struck by an arrow in the heel… https://t.co/75L2vTZSvt",0,7,891277
45,1232759975786602496,2020-02-26 20:10:56,"@oliverbeige Can I answer ""I am understudied on 1000+ BC history and so have no effing clue""? 😄",0,4,891277
46,1232754623754067968,2020-02-26 19:49:40,@jon_choi_ Running is a great drug too. As is music. The best is of course running with music.,9,114,891277
47,1232736353651023872,2020-02-26 18:37:04,"RT @LauraDeming: In 2011, the major limiting constraint in longevity was capital. Today, it’s literally founders. People tell me they’re go…",30,0,891277
48,1232011335006707719,2020-02-24 18:36:06,@VladZamfir @protocollayer @koeppelmann It creates fear that there will be more issuance increases and possibly an… https://t.co/5szQy3I8iO,4,17,891277
49,1232007000172552195,2020-02-24 18:18:53,@VladZamfir @protocollayer @koeppelmann To maintain credibility as a base asset?,0,9,891277
50,1231992216182116352,2020-02-24 17:20:08,"@JHancock @ililic @VladZamfir @koeppelmann In addition to carbonvotes, I'd support POAP votes and gitcoin quadratic votes.",1,20,891277
51,1231992046648344577,2020-02-24 17:19:27,@JHancock @ililic @VladZamfir @koeppelmann I would too!,0,6,891277
52,1231991869732605954,2020-02-24 17:18:45,@jemenger @JHancock @VladZamfir @koeppelmann I'm just thinking out loud here. Maybe ask a reasonable representative… https://t.co/1xxbvCfxao,0,9,891277
53,1231991512277241856,2020-02-24 17:17:20,"@jemenger @JHancock @VladZamfir @koeppelmann I don't know! Coming up with some procedure for rejecting things, mayb… https://t.co/SQNJSbHLlh",2,14,891277
54,1231984834530033666,2020-02-24 16:50:48,"RT @wachmc: Hi Ethereum. I am so happy to announce uniflash: a simple and decen. protocol for flash loan. Like @uniswap, all the fee goes t…",68,0,891277
55,1231983848520437766,2020-02-24 16:46:53,"@VladZamfir @koeppelmann @JHancock The 100% is outside the quotes, not inside :)",0,10,891277
56,1231983221602058245,2020-02-24 16:44:23,@oliverbeige @VladZamfir https://t.co/AMFdoNsZNC,2,13,891277
57,1231983036113145856,2020-02-24 16:43:39,@protocollayer @VladZamfir @koeppelmann Agree!,0,2,891277
58,1231982723511668738,2020-02-24 16:42:25,"@VladZamfir @koeppelmann @JHancock Yes but in your lingo I don't think those processes have 100% ""legitimacy"" in the community.",0,11,891277
59,1231982315657547779,2020-02-24 16:40:47,@VladZamfir @koeppelmann @JHancock We had this prob w EIP 999 before. Ethereum governance has the problem that it d… https://t.co/jvRpfIaHkM,3,29,891277
60,1231981555318308864,2020-02-24 16:37:46,@VladZamfir @koeppelmann I don't think it's @JHancock's fault; he even talked to me before proposing and I told him… https://t.co/m42XtBENQO,3,51,891277
61,1231980850956259339,2020-02-24 16:34:58,@VladZamfir @koeppelmann Then my reasoning says you have the affirmative duty to propose specific alternative norms :),0,15,891277
62,1231980558634254336,2020-02-24 16:33:48,"@VladZamfir @koeppelmann It went from ""phew, this thing is gone and has not been talked about for quite a while"" to… https://t.co/HaRsvVlOuY",8,113,891277
63,1231979434216869888,2020-02-24 16:29:20,"@protocollayer @VladZamfir @koeppelmann We can have norms that issuance can change, but changes in the upward direc… https://t.co/iSx18jwmVE",1,7,891277
64,1231979236920979456,2020-02-24 16:28:33,"@VladZamfir @koeppelmann Also, @VladZamfir your seeming unwillingness to accept the legitimacy of *any* Schelling f… https://t.co/xTYwGPG37f",2,45,891277
65,1231978839523225601,2020-02-24 16:26:59,@VladZamfir @koeppelmann BTW the way progpow was ninja-reapproved definitely did *not* help make people trust the g… https://t.co/vborbU4mOy,32,185,891277
66,1231977662739959812,2020-02-24 16:22:18,@VladZamfir @koeppelmann Because if we don't erect psycho-sociological walls in the form of norms saying where we c… https://t.co/ZEhXks9ajR,2,51,891277
67,1231752442636730370,2020-02-24 01:27:21,"@ChrisLundkvist To be fair, no one can primality-test 2048 bit numbers in their head!",0,13,891277
68,1231750986386948096,2020-02-24 01:21:34,@oliverbeige @wwwojtekk https://t.co/UvCU3FVWIA ?,0,5,891277
69,1231665965609316352,2020-02-23 19:43:44,"@robertwiblin Do you mean:

criticized_good_people &gt; criticized_bad_people

Or:

criticized_good_people / good_peop… https://t.co/TMnnaVkbKH",1,12,891277
70,1231664032697831425,2020-02-23 19:36:03,@robertwiblin In relative or absolute terms?,0,4,891277
71,1231651858055233537,2020-02-23 18:47:40,"@ATabarrok His argument was heavy on appeal-to-intuition so this is only a guess, but I think a greater focus on so… https://t.co/54fNafRej0",0,10,891277
72,1231644661250322433,2020-02-23 18:19:04,@sunnya97 Nope!,0,25,891277
73,1231642979925970944,2020-02-23 18:12:23,@ATabarrok Need to decouple wealth as social power from wealth as ability to get things you like. I feel like peopl… https://t.co/MrPwF1O6ZX,1,23,891277
74,1231630222744674305,2020-02-23 17:21:42,@patrissimo https://t.co/bP9J9hP5tu,0,18,891277
75,1231445808920186880,2020-02-23 05:08:54,"@danfinlay Also, the debate should not be against nirvana, it should be against the status quo, which is horrible a… https://t.co/xhZBXWybgN",0,13,891277
76,1231445158433935360,2020-02-23 05:06:19,"@danfinlay In exceptional cases, sure, the escalator can give better performance. But EIP 1559 is all about making… https://t.co/4b8rQbVWAi",0,35,891277
77,1231260754679984129,2020-02-22 16:53:34,RT @avsa: It’s 2020 and the state of AI is pretty much the opposite of what every single sci-fi trope predicted: robots can compose a symph…,181,0,891277
78,1231039851178295296,2020-02-22 02:15:46,"RT @gitcoin: Grants CLR Match Round 5 is ~ 23 days away.

Follow the countdown timer at https://t.co/qMZx2BCBOW https://t.co/uFUASPkKOh",6,0,891277
79,1231008195893579776,2020-02-22 00:09:59,"@VladZamfir Oh shut up with those sociopathic immutability norms.

Birthdays are a social convention, we can and sh… https://t.co/aenHLroXmT",1,24,891277
80,1231006135068418048,2020-02-22 00:01:48,@antiprosynth @Arturo_P_A @RyanSAdams @evan_van_ness @econoar I'm pro-interoperability. But interoperability can be… https://t.co/NOXBu5EUfm,10,58,891277
81,1231005238645022721,2020-02-21 23:58:14,"@VladZamfir I got one hope the birthday proceeds as scheduled!

Look forward to London 🙂",5,42,891277
82,1230608081203019776,2020-02-20 21:40:04,RT @bascule: This is like arguing that RSA wouldn’t take money from the NSA to put backdoors in their products because it might damage thei…,17,0,891277
83,1230339379081572352,2020-02-20 03:52:21,"At #SBC20, a belated but mandatory selfie with Justin, a true blockchain innovator and pioneer. https://t.co/sOFJlYiTdl",60,802,891277
84,1230195912615448576,2020-02-19 18:22:16,@oliverbeige Yes this is basically the entire reason (eg. as elaborated in https://t.co/cezOk1ilHy and other places… https://t.co/hCgGutefOM,0,8,891277
85,1230192320705753089,2020-02-19 18:07:59,@oliverbeige Homo economicus would be less influenced by influencers but more willing to sell their vote. If far aw… https://t.co/KNoBqkdL34,2,6,891277
86,1230191407236706304,2020-02-19 18:04:21,"@oliverbeige (by efficiency I just mean ability to achieve Bloomberg's goals, not anything to do with social welfare)",0,2,891277
87,1230190841542524928,2020-02-19 18:02:07,"@oliverbeige The closer voters are to homo economicus, the lower the efficiency of the former technique but the hig… https://t.co/zyS0moABGw",0,4,891277
88,1230182418394386434,2020-02-19 17:28:38,"RT @SteDziembowski: Our paper on #Plasma is out.  We prove an inherent separation between Plasma Cash and Fungible Plasmas, by showing that…",17,0,891277
89,1230160619749269506,2020-02-19 16:02:01,"RT @Ethereum_France: Nous avons le plaisir de voir revenir @VitalikButerin à Paris pour les conférences EthCC ! 
C’est dans deux semaines ……",46,0,891277
90,1230129938402967552,2020-02-19 14:00:06,"RT @BrantlyMillegan: Thinking about my friend @virgilgr (who isn't allowed online), discovered this really deep and meaningful #IPFS conten…",19,0,891277
91,1230126909561794562,2020-02-19 13:48:04,@mhass33 @patrissimo No I am advocating for setting up *more* general-purpose economic incentive structures for peo… https://t.co/bi2zASx6iO,0,16,891277
92,1230000937764179970,2020-02-19 05:27:30,@mhass33 @patrissimo The problem with the token-based models in your post is that they are still ultimately predica… https://t.co/tuNmHFsstk,0,4,891277
93,1230000561354760192,2020-02-19 05:26:00,"@mhass33 @patrissimo ""they need to capture the value"" is a property of the current economic system. I'm critiquing… https://t.co/x6Qfwzh1Ud",2,16,891277
94,1229933836420538368,2020-02-19 01:00:52,"@koaleszenz I would alter ""sell"" from the default ""sell the patent"" to ""sell an unlimited license"". Would remove th… https://t.co/qVexI5YKR7",1,13,891277
95,1229932315725295616,2020-02-19 00:54:49,"@StopAndDecrypt @gladstein @ofnumbers @kevinsekniqi Alex called Ava a ""shitcoin"". This is clearly a question of legitimacy.",0,7,891277
96,1229908044714086401,2020-02-18 23:18:23,@gladstein @ofnumbers @kevinsekniqi FWIW I think it's very fair to treat ava and bitcoin as having similar levels o… https://t.co/SOeCCxB0UE,6,57,891277
97,1229888976212779009,2020-02-18 22:02:36,@patrissimo Capitalism predicated on capturing network effects has bad incentives. Becoming the center of the conne… https://t.co/hoA8DPKxGe,2,41,891277
98,1229832694713896960,2020-02-18 18:18:58,"RT @fubuloubu: @VitalikButerin Unix philosophy, but on Ethereum",9,0,891277
99,1229832623507165184,2020-02-18 18:18:41,RT @M0zrat: @VitalikButerin Teams tried to make ecosystems because it was clearly the best way to get funding — if we improve public goods…,7,0,891277
